domain,base_url,logo_url,status,error,html_length
stanbicbank.co.zw,https://www.stanbicbank.co.zw/zimbabwe/personal,https://www.stanbicbank.co.zw/static_file/assets/favicons/favicon.ico,success,,295726.0
astrazeneca.ua,https://www.astrazeneca.ua/,https://www.astrazeneca.ua/etc/designs/az/img/favicons/icon-favicon.ico,success,,45862.0
autosecuritas-ct-seysses.fr,https://www.autosecuritas-ct-seysses.fr/public/,https://www.autosecuritas-ct-seysses.fr/public/img/showcase/favicons/apple-touch-icon.png,success,,59795.0
ovb.ro,https://www.ovb.ro/,https://www.ovb.ro/_assets/591954c268d6a7d5bf39e8f45d857458/img/icons/facebook.svg,success,,87246.0
mazda-autohaus-hellwig-hoyerswerda.de,https://www.mazda-autohaus-hellwig-hoyerswerda.de/,https://www.assets.mazda-autohaus.de/assets/img/favicons/apple-icon.png,success,,66396.0
toyota-buchreiter-eisenstadt.at,https://www.toyota-buchreiter-eisenstadt.at/,https://www.toyota-buchreiter-eisenstadt.at/fav/apple-touch-icon.png,success,,43907.0
ebay.cn,https://www.ebay.cn/,https://www.ebay.cn/favicon.ico,success,,55942.0
greatplacetowork.com.bo,https://www.greatplacetowork.com.bo/,https://www.greatplacetowork.com.bo/hubfs/favicon-32x32.png,success,,148599.0
wurth-international.com,https://www.wurth-international.com/,https://www.wurth-international.com/system/layout_wl2bootstrap/bootstrap_system_images/touchicons/touchicon_wuerth_res_wl2_touch_16.png,success,,79448.0
plameco-hannover.de,https://www.plameco-hannover.de/,https://www.plameco-hannover.de/domains/plameco-hannover.de/media/DE_Plameco_Logo.png,success,,148764.0
kia-moeller-wunstorf.de,https://www.kia-moeller-wunstorf.de/,https://www.kia-moeller-wunstorf.de/etc.clientlibs/settings/wcm/designs/eut/clientlib/resources/rbr/rbr-fav.ico,success,,160532.0
ccusa.co.nz,https://ccusa.co.nz/,https://ccusa.co.nz/wp-content/uploads/2023/02/elementor/thumbs/favicon_noGlobeRound-qajrjo512ai2oh7ixchhx7bnlqb2o6o9g5aqgvfk38.png,success,,124719.0
tupperware.at,,,fail,,
zalando.cz,,,fail,,
